e005	A	b1
e022	A	b2
phrasing:n009:p0	C	b2
phrasing:n006:p0	R	b1
n023	A	b2
n019	A	b1
e006	A	b1
phrasing:n003:p0	R	b2
n020	A	b1
e007	A	b1
phrasing:n008:p0	C	b2
phrasing:n006:p0	C	b1
n018	A	b1
n002	A	b1
phrasing:n013:p0	C	b2
phrasing:n014:p0	C	b2
e013	A	b1
phrasing:n031:p0	R	b2
phrasing:n025:p0	R	b1
phrasing:n032:p0	C	b2
n007	A	b1
phrasing:n023:p0	C	b2
phrasing:n019:p0	R	b1
n031	A	b2
e012	A	b1
phrasing:n013:p0	R	b2
group:g5	A	b1
n008	A	b2
n003	A	b2
n013	A	b2
n032	A	b2
phrasing:n020:p0	R	b1
phrasing:n032:p0	R	b2
phrasing:n018:p0	C	b1
phrasing:n002:p0	R	b1
phrasing:n023:p0	R	b2
n009	A	b2
phrasing:n008:p0	R	b2
n006	A	b1
group:g2	A	b1
phrasing:n007:p0	C	b1
phrasing:n014:p0	R	b2
phrasing:n019:p0	C	b1
phrasing:n009:p0	R	b2
phrasing:n025:p0	C	b1
phrasing:n007:p0	R	b1
phrasing:n020:p0	C	b1
n025	A	b1
phrasing:n031:p0	C	b2
phrasing:n003:p0	C	b2
phrasing:n002:p0	C	b1
phrasing:n018:p0	R	b1
n014	A	b2
