group:g2	A	b1
n002	A	b2
phrasing:n034:p0	C	b1
phrasing:n015:p0	C	b1
phrasing:n034:p0	R	b1
n008	A	b1
phrasing:n009:p0	C	b2
e005	A	b1
phrasing:n008:p0	C	b1
n011	A	b1
phrasing:n020:p0	R	b2
phrasing:n033:p0	C	b1
phrasing:n009:p0	R	b2
phrasing:n002:p0	R	b2
phrasing:n024:p0	R	b2
n009	A	b2
e014	A	b1
n027	A	b1
n030	A	b1
phrasing:n028:p0	C	b2
e001	A	b1
phrasing:n004:p0	R	b1
phrasing:n015:p0	R	b1
phrasing:n024:p0	C	b2
phrasing:n020:p0	C	b2
phrasing:n011:p0	R	b1
phrasing:n002:p0	C	b2
n016	A	b1
phrasing:n030:p0	C	b1
n034	A	b1
e022	A	b3
phrasing:n016:p0	C	b1
phrasing:n028:p0	R	b2
phrasing:n027:p0	R	b1
n024	A	b2
phrasing:n016:p0	R	b1
phrasing:n026:p0	C	b1
phrasing:n026:p0	R	b1
n033	A	b1
n004	A	b1
group:g4	A	b1
phrasing:n030:p0	R	b1
n028	A	b2
phrasing:n027:p0	C	b1
phrasing:n004:p0	C	b1
e010	A	b1
phrasing:n011:p0	C	b1
phrasing:n033:p0	R	b1
n026	A	b1
n020	A	b2
phrasing:n008:p0	R	b1
n015	A	b1
